"Estado","Produto","Ano_Teste","Modelo","preprocess","R2_Treino","R2_Teste","Ordem","best_sw","input_size","nhid","actfun","kernel","epsilon","cost","size","decay","maxit","epochs"
"GO","anhydrous",2021,"gmm_wavelet_mlp","ts_norm_gminmax",0.995124837773342,0.788500266972343,NA,15,10,NA,NA,NA,NA,NA,3,0,700,NA
"GO","anhydrous",2021,"gmm_wavelet_conv1d","ts_norm_gminmax",0.990585954983026,0.846771245167444,NA,18,7,NA,NA,NA,NA,NA,NA,NA,NA,700
"GO","anhydrous",2022,"gmm_wavelet_lstm","ts_norm_gminmax",NA,NA,NA,9,9,NA,NA,NA,NA,NA,NA,NA,NA,700
"GO","anhydrous",2022,"gmm_wavelet_elm","ts_norm_gminmax",0.990222018331178,0.742609972267381,NA,12,6,20,"sig",NA,NA,NA,NA,NA,NA,NA
"GO","anhydrous",2022,"gmm_wavelet_svm","ts_norm_gminmax",0.985706375762958,0.914715461497034,NA,12,9,NA,NA,"linear",0,10,NA,NA,NA,NA
"GO","anhydrous",2022,"gmm_wavelet_mlp","ts_norm_gminmax",0.995561170545888,0.799340787650855,NA,18,7,NA,NA,NA,NA,NA,5,0,700,NA
"GO","anhydrous",2022,"gmm_wavelet_conv1d","ts_norm_gminmax",0.989521949505376,0.901919242428877,NA,12,6,NA,NA,NA,NA,NA,NA,NA,NA,700
"GO","anhydrous",2023,"gmm_wavelet_lstm","ts_norm_gminmax",0.952852346580684,0.845598096135432,NA,18,8,NA,NA,NA,NA,NA,NA,NA,NA,700
"GO","anhydrous",2023,"gmm_wavelet_elm","ts_norm_gminmax",0.989116428347989,0.811177536851869,NA,12,6,20,"sig",NA,NA,NA,NA,NA,NA,NA
"GO","anhydrous",2023,"gmm_wavelet_svm","ts_norm_gminmax",0.9853726613278,0.854433527469528,NA,12,9,NA,NA,"linear",0.05,10,NA,NA,NA,NA
"GO","anhydrous",2023,"gmm_wavelet_mlp","ts_norm_gminmax",0.994334888517716,-101.847204678757,NA,18,7,NA,NA,NA,NA,NA,4,0,700,NA
"GO","anhydrous",2023,"gmm_wavelet_conv1d","ts_norm_gminmax",0.993112941595746,0.886452662623912,NA,18,7,NA,NA,NA,NA,NA,NA,NA,NA,700
"GO","anhydrous",2019,"an_lstm","ts_norm_an",0.812186184201683,0.761424785534618,NA,12,9,NA,NA,NA,NA,NA,NA,NA,NA,700
"GO","anhydrous",2019,"an_elm","ts_norm_an",0.865876769989135,0.774104955266128,NA,15,9,17,"radbas",NA,NA,NA,NA,NA,NA,NA
"GO","anhydrous",2019,"an_svm","ts_norm_an",0.807391472677872,0.139597123609308,NA,12,9,NA,NA,"radial",0,4,NA,NA,NA,NA
"GO","anhydrous",2019,"an_mlp","ts_norm_an",0.883171782137579,0.462052504333912,NA,15,3,NA,NA,NA,NA,NA,2,0,700,NA
"GO","anhydrous",2019,"an_conv1d","ts_norm_an",0.906314858285679,0.629738179105016,NA,12,6,NA,NA,NA,NA,NA,NA,NA,NA,700
"GO","anhydrous",2019,"diff_lstm","ts_norm_diff",0.892269122634296,0.547060374168671,NA,12,9,NA,NA,NA,NA,NA,NA,NA,NA,700
